id,name,description,phenotype_count
85,Isoprenoid concentration,Natural variation of seven different isoprenoids in 118 different accessions,7
38,1001 Genomes & easyGWAS,Phenotypes from the 1001 Genomes Project and the easyGWAS publication,8
80,"Genetic dissection of shoot regeneration from root explants in Arabidopsis (Lardon et al., 2020)","In the frame of a genome-wide association study, we have subjected 170 natural Arabidopsis thaliana accessions to two protocol variants for shoot regeneration from root explants and recorded substantial variation in regenerated shoot numbers and several related in vitro traits. The results of this study are reported in ""The genetic framework of shoot regeneration in Arabidopsis comprises master regulators and conditional fine-tuning factors"" (Lardon et al., Commun. Biol., 2020).",28
28,Auxin (IAA) treatment,"Ristova et al., (2018): Natural Genetic Variation Shapes Root System Responses to Phytohormones in Arabidopsis. Plant Journal. DOI: 10.1111/tpj.14034.",9
30,Cytokinin (CK) treatment,"Ristova et al., (2018): Natural Genetic Variation Shapes Root System Responses to Phytohormones in Arabidopsis. Plant Journal. DOI: 10.1111/tpj.14034.",9
127,Raffinose (22°C and 32°C),"Raffinose measurements at 22°C and 32°C
published in Reichelt et al. 2023
https://doi.org/10.1101/2023.05.15.540763",2
126,trichome_development_epidermis_metal_traits,"A genome-wide association screen for genes affecting trichome development and epidermal metal accumulation in Arabidopsis

Radek Bezvoda, Yazmín Mónica Landeo Ríos, Zdeňka Kubátová, Eva Kollárová, Ivan Kulich, Viktor Žárský, Fatima Cvrčková
Manuscript in preparation",18
84,"Seed longevity (Renard et. al., 2020)","Four different seed aging treatments (3 artificial treatments (AAT, CDT and EPPO) and dry seed storage (NAT)) were scored in 269 Arabidopsis thaliana ecotypes.",4
29,Abscisic acid (ABA) treatment,"Ristova et al., (2018): Natural Genetic Variation Shapes Root System Responses to Phytohormones in Arabidopsis. Plant Journal. DOI: 10.1111/tpj.14034.",9
16,Ion Concentration,"Plants were grown in a controlled environment with 10 h light/
14 h dark (90 mmol m22s21 photosynthetically active light) and 19
to 22uC, as previously described [31]. Briefly, seeds were sown
onto moist soil (Promix; Premier Horticulture) in 10.506210 20 row
trays with various elements added to the soil at subtoxic
concentrations (As, Cd, Co, Li, Ni, Rb, and Se [31]) and the
tray placed at 4uC for 3 days to stratify the seeds and help
synchronize germination. Each tray contained 108 plants, six
plants each from 18 accessions, with three plants of each accession
planted in two different parts of the tray. Each tray contained four
common accessions (Col-0, Cvi-0, Fab-2 and Ts-1) used as
controls, and 14 test accessions. Trays were bottom-watered twice
per week with 0.25-strength Hoagland solution in which Fe was
replaced with 10 mM Fe-HBED[N,N9-di(2-hydroxybenzyl)ethyle-
nediamine-N,N9-diacetic acid monohydrochloride hydrate; Strem
Chemicals, Inc.). After 5 weeks plants were non-destructively
sampled by removing one or two leaves and the elemental
composition of the tissue analyzed by Inductively Couple Plasma
Mass Spectroscopy (ICP-MS). The plant material was rinsed with
18 MV water and placed into Pyrex digestion tubes.",19
36,Salt induced changes in Root System Architecture,"Salt stress affects not only plant size, but also plant architecture. In this study, we focused on salt stress-induced changes to Root System Architecture, by germinating the seedlings on vertical agar growth medium (no salt) and transplanting 4 days old seedlings into plates containing 0, 75 and 125 mM NaCl. The Root System Architecture phenotypes were quantified using EZ-Rhizo software for at least 4 replicates per accession per condition. The plants grown under control conditions were measured 4 days after transfer (8 days after germination), while plants growing at both salt stress conditions were measured 8 days after transfer (12 days after germination). The Root System Architecture traits include Main Root Length, Total Root Size, Lateral Root Length and ~ Density, as well as the length of individual zones (basal, branching, apical) on the main root. 

The results of this study were published as Julkowska et al., Plant Cell, 2018, https://doi.org/10.1105/tpc.16.00680",59
4,DAAR,GWAS of three mass features of N-malonyl-D-allo-isoleucine in Arabidopsis thaliana inbred lines using ~250k SNPs in 416 accessions,3
92,Pb Mine soil,Arabidopsis thaliana (360 accessions) were cultivated in two soil types with contrasted Pb concentration placed in a growth chamber. Germination and survival were monitored and rosette diameter (RD) of 3 individuals per accession and soil type was measured weekly for 4 weeks. Growth rate of each accession was calculated as mean(RDMine) / mean(RD Control) of the last RD measure. Fifty-day old plants were harvested to measure its nutrient mineral contents.,15
44,Root growth under Zn deficiency Bouain et al. 2018,Data from the Plos Genetics paper by Bouain et al. 2018 https://doi.org/10.1371/journal.pgen.1007304,14
1,"Atwell et. al, Nature 2010",GWAS of 107 phenotypes in Arabidopsis thaliana inbred lines using ~250k SNPs in 199 accessions,107
22,Kerdaffrec et al. 2017,"Germination rate of seeds after-ripened for 21, 63 and 105 days measured for 92 Swedish lines grown under two different temperature treatments, cold (15ºC) and warm (21ºC).",6
43,Natural variation in stomata size (Dittberner et al. 2018),"Measurements of stomata site, density and water use efficiency as described by Dittberner et al. 2018 in Molecular Ecology 
DOI: 10.1111/mec.14838",6
3,Mejion,"201 different accessions of A. thaliana from different geographic origins. These accessions were part of the RegMap. Seeds were obtained by growing the parental generation of all lines used side by side in the same growth chambers under the same conditions. The seeds were surface sterilized in 2.8% hypochlorite for 4 min and washed three times in MonoQ sterile water. They were then stratified for 72 h at 4 °C in water and darkness and put to grow on our custom Confocal Chamber System (CCs). The seeds were grown for 3 d in vertically oriented CCs containing 1× Murashige and Skoog (MS) salt mixture, 1% (wt/vol) sucrose and 0.8% (wt/vol) agar. To provide a sterile environment for the CCs and prevent them from drying out, we embedded the CCs into conventional agar plates ",2
