name,to_name,scoring,to_definition,study_number,manual_ont,best_model,ont_high
study_1_8W_GH_FT,,,,,flowering time trait (TO:0002616),Ridge,macroscopic trait
study_1_8W_GH_LN,,,,,shoot system growth and development trait (TO:0000928),Ridge,macroscopic trait
study_1_FLC,flowering time trait,RNA was extracted from leaves after 4 wks of growth. FLC gene expression levels were determined by Northern hybridization quantified relative to $Beta;-TUBULIN expression,"""A plant phenological trait (TO:0000933) which is a quality of the timing of anthesis (flowering stage; PO:0007616)."" [GR:pj, TO:cooperl]",1,biochemical trait (TO:0000277),Ridge,biochemical trait
study_1_FRI,flowering time trait,RNA was extracted from leaves after 4 wks of growth. FRI gene expression levels were determined by Northern hybridization quantified relative to $Beta;-TUBULIN expression,"""A plant phenological trait (TO:0000933) which is a quality of the timing of anthesis (flowering stage; PO:0007616)."" [GR:pj, TO:cooperl]",1,biochemical trait (TO:0000277),Random Forest,biochemical trait
study_1_FT22,days to flowering trait,"Plants were checked bi-weekly for presence of first buds, and the average flowering time of 4 plants of the same accession were collected","""A flowering time trait (TO:0002616)which is the number of days required for an individual flower (PO:0009046), a whole plant (PO:0000003) or a plant population to reach flowering stage (PO:0007616) from a predetermined time point (e.g. the date of seed sowing, seedling transplant, or seedling emergence)."" [GR:pj, TO:cooperl]",1,flowering time trait (TO:0002616),Ridge,macroscopic trait
study_1_FT_Field,,,,,flowering time trait (TO:0002616),Ridge,macroscopic trait
study_1_LN10,leaf number,"Plants were checked bi-weekly for presence of first buds, and the average leaf number at flowering time of 4 plants of the same accession were collected","""A shoot system morphology trait (TO:0000077) which is the number of leaves (PO:0025034) in a shoot system (PO:0009006) of a plant."" [GR:pj, TO:cooperl]",1,shoot system growth and development trait (TO:0000928),Ridge,macroscopic trait
study_1_LN16,leaf number,"Plants were checked bi-weekly for presence of first buds, and the average leaf number at flowering time of 4 plants of the same accession were collected","""A shoot system morphology trait (TO:0000077) which is the number of leaves (PO:0025034) in a shoot system (PO:0009006) of a plant."" [GR:pj, TO:cooperl]",1,shoot system growth and development trait (TO:0000928),Ridge,macroscopic trait
study_1_SDV,days to flowering trait,"Number of days following stratification to opening of first flower. The experiment was stopped at 200 d, and accessions that had not flowered at that point were assigned a value of 200","""A flowering time trait (TO:0002616)which is the number of days required for an individual flower (PO:0009046), a whole plant (PO:0000003) or a plant population to reach flowering stage (PO:0007616) from a predetermined time point (e.g. the date of seed sowing, seedling transplant, or seedling emergence)."" [GR:pj, TO:cooperl]",1,flowering time trait (TO:0002616),Ridge,macroscopic trait
study_1_Storage_28_days,,,,,seed dormancy trait (TO:0000253),Lasso,macroscopic trait
study_1_Storage_56_days,,,,,seed dormancy trait (TO:0000253),Ridge,macroscopic trait
study_1_Width_10,,,,,plant morphology trait (TO:0000017),Lasso,macroscopic trait
study_27_MeanTRL_C,,,,,plant morphology trait (TO:0000017),Ridge,macroscopic trait
study_2_DTFmainEffect2009,days to flowering trait,,"""A flowering time trait (TO:0002616)which is the number of days required for an individual flower (PO:0009046), a whole plant (PO:0000003) or a plant population to reach flowering stage (PO:0007616) from a predetermined time point (e.g. the date of seed sowing, seedling transplant, or seedling emergence)."" [GR:pj, TO:cooperl]",2,flowering time trait (TO:0002616),Lasso,macroscopic trait
study_2_YieldMainEffect2009,seed weight,Yield was recorded as dry seed weight in grams in Experiment 2 with two replicates under each condition,"""A seed morphology trait (TO:0000184) which is the weight of a seed (PO:0009010)."" [GR:pj, ICIS:1058, PO:0009010, TO:moorel]",2,yield trait (TO:0000387),Ridge,macroscopic trait
study_30_MeanTRL_CK,,,,,plant morphology trait (TO:0000017),Ridge,macroscopic trait
study_31_FruitNumber,fruit set trait,Total number of fruits per plant at the end of reproduction (fruit ripening).,,31,yield trait (TO:0000387),Ridge,macroscopic trait
study_31_GrowthRate,shoot system growth and development trait,"Average growth rate during the whole life cycle (final dry mass / lifespan, mg d-1).","""A plant structure growth and development trait (TO:0000928) that is a quality of the growth of the shoot system (PO:0009006), and shoot system development stages (PO:0025527)."" [GR:pj, TO:cooperl]",31,shoot system growth and development trait (TO:0000928),Ridge,macroscopic trait
study_38_CL,cauline axillary branch number,Cauline Leaf Number,,38,plant morphology trait (TO:0000017),Ridge,macroscopic trait
study_38_RL,leaf number,Rosette Leaf Number,"""A shoot system morphology trait (TO:0000077) which is the number of leaves (PO:0025034) in a shoot system (PO:0009006) of a plant."" [GR:pj, TO:cooperl]",38,plant morphology trait (TO:0000017),Ridge,macroscopic trait
study_44_root_length_day003,,,,,plant morphology trait (TO:0000017),Ridge,macroscopic trait
study_4_M130T666,metabolite content trait,LC-MS–based untargeted metabolite profiles of leaf tissue were collected for each accession. Metabolite feature with a mass-to-charge ratio of 130 and a retention time of 666 s,"""The trait associated with an assay to determine the affected metabolite's profile."" [GR:pj]",4,biochemical trait (TO:0000277),Random Forest,biochemical trait
